run,model,strategy,tp,dp,a2a,workload,conc,prompts,in,out,tok/s,req/s,ttft_mean,ttft_p99,itl_mean,itl_p99,e2e_mean,e2e_p99,gpus,mem_before_mb,mem_after_mb,util_before,util_after
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,16,100,128,128,447.49,3.5,199.16,612.04,30.93,33.96,30.93,31.29,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,32,100,128,128,751.46,5.87,173.9,196.78,33.42,37.31,33.42,34.07,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,64,100,128,128,1222.58,9.55,640.84,930.3,37.23,51.3,37.23,39.84,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,decode_heavy,128,100,128,128,2267.92,17.72,363.72,417.96,41.36,49.44,41.36,42.12,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,1,50,512,256,35,0.14,84.42,95.36,28.35,30.04,28.35,28.9,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,4,50,512,256,129.57,0.51,90.22,114.35,29.45,31.12,29.45,29.77,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,8,50,512,256,240.02,0.94,104.48,126.9,29.63,31.38,29.63,30.01,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,16,50,512,256,403.83,1.58,141.69,153.33,31.23,33.1,31.23,31.57,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,32,50,512,256,744.55,2.91,198.66,244.4,33.39,36.5,33.39,34.63,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,64,50,512,256,1369.01,5.35,486.95,755.47,34.65,36.65,34.65,35.51,2,74719,74719,0,0
multi,Mixtral-8x7B-Instruct-v0.1,ep_only,1,,allgather_reducescatter,prefill_heavy,128,50,512,256,1449.89,5.66,265.42,287.9,33.47,35.95,33.47,33.6,2,74719,74719,0,0
